country,most_dominant_biome,most_dominant_biome_area,second_dominant_biome,second_dominant_biome_area,third_dominant_biome,third_dominant_biome_area
Abyei,7,194014.89522766694,9,83966.8699179909,NA,NA
Afghanistan,13,792206.7876316203,NA,NA,NA,NA
Aksai Chin,10,140204.0667819437,99,35682.3737987446,NA,NA
Albania,12,247722.0030490298,4,135063.45557866356,NA,NA
Algeria,13,2059737.6478422128,12,743166.0091470894,NA,NA
Andorra,4,135063.45557866356,NA,NA,NA,NA
Angola,7,1358104.2665936686,NA,NA,NA,NA
Antarctica,99,9884017.542252256,11,4061609.2707244484,NA,NA
Antigua & Barbuda,2,214966.7265440208,1,176566.57635346707,13,158441.35752632405
Argentina,8,1496529.6757973405,7,582044.6856830008,10,560816.2671277748
Armenia,13,158441.35752632405,4,135063.45557866356,8,124710.80631644503
Australia,13,3327268.5080528054,7,2134163.8475043364,12,743166.0091470894
Austria,4,135063.45557866356,NA,NA,NA,NA
Azerbaijan,13,158441.35752632405,4,135063.45557866356,98,129857.90132617
Bahrain,13,158441.35752632405,NA,NA,NA,NA
Bangladesh,1,176566.57635346707,NA,NA,NA,NA
Belarus,4,135063.45557866356,NA,NA,NA,NA
Belgium,4,135063.45557866356,NA,NA,NA,NA
Belize,3,354645.69097468216,1,176566.57635346707,14,NA
Benin,7,194014.89522766694,1,176566.57635346707,NA,NA
Bhutan,5,127692.96354133112,NA,NA,NA,NA
Bolivia,7,388029.7904553339,1,353133.15270693414,10,140204.0667819437
Botswana,7,194014.89522766694,13,158441.35752632405,9,83966.8699179909
Brazil,1,5473563.866957479,7,2134163.8475043364,13,633765.4301052962
Brunei,1,176566.57635346707,14,NA,NA,NA
Bulgaria,4,270126.9111573271,NA,NA,NA,NA
Burkina Faso,7,388029.7904553339,NA,NA,NA,NA
Burma,1,706266.3054138683,NA,NA,NA,NA
Burundi,7,194014.89522766694,1,176566.57635346707,98,129857.90132617
CH-IN,10,140204.0667819437,99,35682.3737987446,NA,NA
Cabo Verde,2,214966.7265440208,NA,NA,NA,NA
Cambodia,1,176566.57635346707,NA,NA,NA,NA
Cameroon,1,176566.57635346707,NA,NA,NA,NA
Canada,6,4257237.186573396,11,2060236.5865993577,8,997686.4505315602
Central African Rep,7,388029.7904553339,1,176566.57635346707,NA,NA
Chad,7,970074.4761383347,13,316882.7150526481,NA,NA
Chile,4,540253.8223146542,13,316882.7150526481,12,247722.0030490298
China,4,2296078.7448372804,10,2243265.068511099,13,1742854.9327895646
Colombia,1,882832.8817673353,10,140204.0667819437,NA,NA
Comoros,1,176566.57635346707,NA,NA,NA,NA
Congo,1,1412532.6108277366,7,1358104.2665936686,NA,NA
Costa Rica,2,214966.7265440208,1,176566.57635346707,14,NA
Croatia,12,247722.0030490298,4,135063.45557866356,NA,NA
Cuba,3,354645.69097468216,2,214966.7265440208,1,176566.57635346707
Cyprus,12,247722.0030490298,NA,NA,NA,NA
Czechia,4,135063.45557866356,NA,NA,NA,NA
Demchok,10,140204.0667819437,99,35682.3737987446,NA,NA
Denmark,4,135063.45557866356,8,124710.80631644503,NA,NA
Djibouti,13,158441.35752632405,NA,NA,NA,NA
Dominica,1,176566.57635346707,13,158441.35752632405,NA,NA
Dominican Republic,1,176566.57635346707,NA,NA,NA,NA
Dragonja,12,247722.0030490298,NA,NA,NA,NA
Dramana-Shakatoe,10,140204.0667819437,NA,NA,NA,NA
Ecuador,10,140204.0667819437,NA,NA,NA,NA
Egypt,13,792206.7876316203,9,167933.7398359818,NA,NA
El Salvador,3,354645.69097468216,2,214966.7265440208,1,176566.57635346707
Eritrea,1,176566.57635346707,NA,NA,NA,NA
Estonia,4,135063.45557866356,NA,NA,NA,NA
Ethiopia,7,776059.5809106678,10,280408.1335638874,1,176566.57635346707
Falkland Islands (UK),8,124710.80631644503,NA,NA,NA,NA
Fiji,2,214966.7265440208,1,176566.57635346707,NA,NA
Finland,6,271738.5438238338,NA,NA,NA,NA
France,4,405190.3667359907,NA,NA,NA,NA
Gabon,7,194014.89522766694,NA,NA,NA,NA
Georgia,4,135063.45557866356,NA,NA,NA,NA
Germany,4,270126.9111573271,NA,NA,NA,NA
Ghana,7,194014.89522766694,NA,NA,NA,NA
Greece,12,247722.0030490298,4,135063.45557866356,NA,NA
Greenland,99,1106153.5877610827,11,765230.7321654757,NA,NA
Grenada,2,214966.7265440208,1,176566.57635346707,13,158441.35752632405
Guatemala,1,176566.57635346707,NA,NA,NA,NA
Guinea,7,388029.7904553339,1,353133.15270693414,7,194014.89522766694
Guyana,1,176566.57635346707,NA,NA,NA,NA
Haiti,3,354645.69097468216,2,214966.7265440208,1,176566.57635346707
Honduras,1,176566.57635346707,NA,NA,NA,NA
Hungary,4,135063.45557866356,NA,NA,NA,NA
Iceland,6,90579.51460794461,99,35682.3737987446,NA,NA
India,2,1289800.3592641249,1,882832.8817673353,13,475324.07257897215
Indonesia,1,1765665.7635346707,NA,NA,NA,NA
Iran,13,1425972.2177369166,4,270126.9111573271,NA,NA
Iraq,13,475324.07257897215,NA,NA,NA,NA
Ireland,4,135063.45557866356,NA,NA,NA,NA
Isla Brasilera,7,194014.89522766694,8,124710.80631644503,9,83966.8699179909
Israel,12,247722.0030490298,13,158441.35752632405,8,124710.80631644503
Italy,12,247722.0030490298,5,127692.96354133112,NA,NA
Ivory Coast,7,194014.89522766694,1,176566.57635346707,NA,NA
Jamaica,2,214966.7265440208,1,176566.57635346707,14,NA
Japan,4,405190.3667359907,NA,NA,NA,NA
Jordan,12,247722.0030490298,13,158441.35752632405,8,124710.80631644503
Kalapani,10,140204.0667819437,4,135063.45557866356,NA,NA
Kazakhstan,8,1496529.6757973405,13,1425972.2177369166,10,140204.0667819437
Kenya,7,582044.6856830008,1,176566.57635346707,NA,NA
Kiribati,1,176566.57635346707,NA,NA,NA,NA
"Korea, North",4,135063.45557866356,NA,NA,NA,NA
Kosovo,12,247722.0030490298,4,135063.45557866356,NA,NA
Koualou,7,194014.89522766694,NA,NA,NA,NA
Kuwait,13,158441.35752632405,NA,NA,NA,NA
Kyrgyzstan,13,158441.35752632405,NA,NA,NA,NA
Laos,1,176566.57635346707,NA,NA,NA,NA
Latvia,4,135063.45557866356,NA,NA,NA,NA
Lebanon,12,247722.0030490298,NA,NA,NA,NA
Lesotho,10,140204.0667819437,NA,NA,NA,NA
Liberia,7,194014.89522766694,1,176566.57635346707,14,NA
Libya,13,1584413.5752632406,NA,NA,NA,NA
Liechtenstein,4,135063.45557866356,5,127692.96354133112,NA,NA
Lithuania,4,135063.45557866356,NA,NA,NA,NA
Luxembourg,4,135063.45557866356,NA,NA,NA,NA
Macedonia,12,247722.0030490298,4,135063.45557866356,NA,NA
Madagascar,1,353133.15270693414,2,214966.7265440208,NA,NA
Malawi,10,140204.0667819437,NA,NA,NA,NA
Malaysia,1,176566.57635346707,NA,NA,NA,NA
Maldives,1,176566.57635346707,NA,NA,NA,NA
Mali,13,475324.07257897215,7,388029.7904553339,9,83966.8699179909
Malta,12,247722.0030490298,NA,NA,NA,NA
Marshall Is,1,176566.57635346707,NA,NA,NA,NA
Mauritania,13,633765.4301052962,7,582044.6856830008,NA,NA
Mauritius,1,176566.57635346707,NA,NA,NA,NA
Mexico,13,1109089.5026842684,3,709291.3819493643,2,429933.4530880416
"Micronesia, Fed States of",2,214966.7265440208,1,176566.57635346707,NA,NA
Moldova,4,135063.45557866356,8,124710.80631644503,NA,NA
Monaco,12,247722.0030490298,NA,NA,NA,NA
Mongolia,13,792206.7876316203,8,498843.2252657801,5,255385.92708266224
Montenegro,4,135063.45557866356,NA,NA,NA,NA
Morocco,12,247722.0030490298,13,158441.35752632405,10,140204.0667819437
Mozambique,7,776059.5809106678,1,353133.15270693414,NA,NA
Namibia,13,633765.4301052962,7,388029.7904553339,NA,NA
Nepal,1,176566.57635346707,NA,NA,NA,NA
Netherlands,2,214966.7265440208,1,176566.57635346707,13,158441.35752632405
New Zealand,4,270126.9111573271,10,140204.0667819437,8,124710.80631644503
Nicaragua,98,129857.90132617,NA,NA,NA,NA
Niger,7,582044.6856830008,13,475324.07257897215,NA,NA
Nigeria,7,1164089.3713660017,NA,NA,NA,NA
No Man's Land,12,247722.0030490298,NA,NA,NA,NA
Norway,11,294319.5123713368,4,135063.45557866356,NA,NA
Oman,13,316882.7150526481,NA,NA,NA,NA
Pakistan,13,475324.07257897215,10,140204.0667819437,NA,NA
Palau,1,176566.57635346707,NA,NA,NA,NA
Panama,1,176566.57635346707,NA,NA,NA,NA
Paracel Is,1,176566.57635346707,NA,NA,NA,NA
Paraguay,7,194014.89522766694,NA,NA,NA,NA
Peru,1,1059399.4581208024,13,158441.35752632405,10,140204.0667819437
Philippines,1,353133.15270693414,NA,NA,NA,NA
Poland,4,270126.9111573271,NA,NA,NA,NA
Portugal,12,247722.0030490298,NA,NA,NA,NA
Qatar,13,158441.35752632405,NA,NA,NA,NA
Romania,4,270126.9111573271,NA,NA,NA,NA
Russia,6,9782587.577658018,11,3355242.44103324,8,1745951.2884302305
Rwanda,7,194014.89522766694,1,176566.57635346707,10,140204.0667819437
Samoa,1,176566.57635346707,NA,NA,NA,NA
San Marino,12,247722.0030490298,NA,NA,NA,NA
Sao Tome & Principe,1,176566.57635346707,NA,NA,NA,NA
Saudi Arabia,13,1742854.9327895646,NA,NA,NA,NA
Senegal,7,194014.89522766694,NA,NA,NA,NA
Serbia,4,135063.45557866356,NA,NA,NA,NA
Seychelles,1,176566.57635346707,13,158441.35752632405,NA,NA
Siachen-Saltoro,10,140204.0667819437,99,35682.3737987446,NA,NA
Sierra Leone,1,176566.57635346707,NA,NA,NA,NA
Singapore,1,176566.57635346707,NA,NA,NA,NA
Slovakia,4,135063.45557866356,5,127692.96354133112,NA,NA
Slovenia,12,247722.0030490298,4,135063.45557866356,5,127692.96354133112
Somalia,7,582044.6856830008,13,158441.35752632405,NA,NA
South Africa,13,475324.07257897215,10,420612.2003458311,7,194014.89522766694
South Sudan,7,388029.7904553339,9,83966.8699179909,NA,NA
Spain,4,270126.9111573271,12,247722.0030490298,NA,NA
Sri Lanka,2,214966.7265440208,1,176566.57635346707,13,158441.35752632405
St Kitts & Nevis,1,176566.57635346707,13,158441.35752632405,14,NA
St Vincent & the Grenadines,2,214966.7265440208,1,176566.57635346707,13,158441.35752632405
Sudan,7,1164089.3713660017,13,633765.4301052962,NA,NA
Suriname,1,176566.57635346707,NA,NA,NA,NA
Swaziland,7,194014.89522766694,1,176566.57635346707,10,140204.0667819437
Sweden,6,271738.5438238338,4,270126.9111573271,11,58863.902474267365
Switzerland,5,127692.96354133112,NA,NA,NA,NA
Syria,8,124710.80631644503,NA,NA,NA,NA
Taiwan,1,176566.57635346707,NA,NA,NA,NA
Tajikistan,10,140204.0667819437,NA,NA,NA,NA
Tanzania,7,582044.6856830008,1,176566.57635346707,9,83966.8699179909
Thailand,2,429933.4530880416,NA,NA,NA,NA
Timor-Leste,2,214966.7265440208,NA,NA,NA,NA
Togo,7,194014.89522766694,1,176566.57635346707,NA,NA
Tonga,1,176566.57635346707,NA,NA,NA,NA
Trinidad & Tobago,2,214966.7265440208,1,176566.57635346707,14,NA
Tunisia,12,247722.0030490298,13,158441.35752632405,5,127692.96354133112
Turkey,12,495444.0060980596,4,270126.9111573271,8,124710.80631644503
Turkmenistan,13,475324.07257897215,NA,NA,NA,NA
Tuvalu,1,176566.57635346707,NA,NA,NA,NA
Uganda,7,194014.89522766694,NA,NA,NA,NA
Ukraine,4,405190.3667359907,8,249421.61263289006,NA,NA
United Arab Emirates,13,158441.35752632405,NA,NA,NA,NA
United Kingdom,4,270126.9111573271,NA,NA,NA,NA
United States,8,1995372.9010631205,5,1787701.4895786357,4,1755824.9225226264
Uruguay,7,194014.89522766694,1,176566.57635346707,8,124710.80631644503
Uzbekistan,13,316882.7150526481,8,124710.80631644503,NA,NA
Vanuatu,1,176566.57635346707,NA,NA,NA,NA
Vatican City,12,247722.0030490298,NA,NA,NA,NA
Venezuela,1,353133.15270693414,2,214966.7265440208,7,194014.89522766694
Vietnam,2,214966.7265440208,1,176566.57635346707,NA,NA
West Bank,12,247722.0030490298,13,158441.35752632405,NA,NA
Western Sahara,13,316882.7150526481,NA,NA,NA,NA
Yemen,13,475324.07257897215,NA,NA,NA,NA
Zambia,7,194014.89522766694,9,167933.7398359818,NA,NA
Zimbabwe,7,388029.7904553339,NA,NA,NA,NA
