BIOME,biome_area,realm,biome_nm
1,19775456.55158831,Neotropics,Tropical & Subtropical Moist Broadleaf Forests
2,3009534.1716162916,Neotropics,Tropical & Subtropical Dry Broadleaf Forests
3,709291.3819493643,Neotropics,Tropical & Subtropical Coniferous Forests
4,12831028.279973038,Neotropics,Temperate Broadleaf & Mixed Forests
5,4086174.833322596,Nearctic,Temperate Conifer Forests
6,15126778.93952675,Nearctic,Boreal Forests/Taiga
7,20177549.103677362,Afrotropics,"Tropical & Subtropical Grasslands, Savannas & Shrublands"
8,10101575.311632048,Neotropics,"Temperate Grasslands, Savannas & Shrublands"
9,1091569.3089338816,Palearctic,Flooded Grasslands & Savannas
10,5187550.4709319165,Palearctic,Montane Grasslands & Shrublands
11,11655052.689904938,Nearctic,Tundra
12,3220386.0396373873,Palearctic,"Mediterranean Forests, Woodlands & Scrub"
13,27885678.924633034,Afrotropics,Deserts & Xeric Shrublands
14,346432.0369267759,Neotropics,Mangroves
